End of Period,Loan Number,Region,Country Code,Country,Borrower,Guarantor Country Code,Guarantor,Loan Type,Loan Status,Interest Rate,Currency of Commitment,Project ID,Project Name,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IBRD,Due to IBRD,Exchange Adjustment,Borrower's Obligation,Sold 3rd Party,Repaid 3rd Party,Due 3rd Party,Loans Held,First Repayment Date,Last Repayment Date,Agreement Signing Date,Board Approval Date,Effective Date (Most Recent),Closed Date (Most Recent),Last Disbursement Date
2019-10-31T00:00:00.000,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000.00,0.00,0.00,250000000.00,38000.00,0.00,0.00,0.00,249962000.00,249962000.00,0.00,0.00,1952-11-01T00:00:00.000,1977-05-01T00:00:00.000,1947-05-09T00:00:00.000,1947-05-09T00:00:00.000,1947-06-09T00:00:00.000,1947-12-31T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00020,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,4.25,,P037452,RECONSTRUCTION,191044211.75,0.00,0.00,191044211.75,103372211.75,0.00,0.00,0.00,87672000.00,87672000.00,0.00,0.00,1952-04-01T00:00:00.000,1972-10-01T00:00:00.000,1947-08-07T00:00:00.000,1947-08-07T00:00:00.000,1947-09-11T00:00:00.000,1948-03-31T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00021,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,4.25,,P037452,RECONSTRUCTION,3955788.25,0.00,0.00,3955788.25,0.00,0.00,0.00,0.00,3955788.25,3955788.25,0.00,0.00,1953-04-01T00:00:00.000,1954-04-01T00:00:00.000,1948-05-25T00:00:00.000,1947-08-07T00:00:00.000,1948-06-01T00:00:00.000,1948-06-30T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00030,EUROPE AND CENTRAL ASIA,DK,Denmark,,,,NPL,Fully Repaid,4.25,,P037362,RECONSTRUCTION,40000000.00,0.00,0.00,40000000.00,17771000.00,0.00,0.00,0.00,22229000.00,22229000.00,0.00,0.00,1953-02-01T00:00:00.000,1972-08-01T00:00:00.000,1947-08-22T00:00:00.000,1947-08-22T00:00:00.000,1947-10-17T00:00:00.000,1949-03-31T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00040,EUROPE AND CENTRAL ASIA,LU,Luxembourg,,,,NPL,Fully Repaid,4.25,,P037451,RECONSTRUCTION,12000000.00,238016.98,0.00,11761983.02,1619983.02,0.00,0.00,0.00,10142000.00,10142000.00,0.00,0.00,1949-07-15T00:00:00.000,1972-07-15T00:00:00.000,1947-08-28T00:00:00.000,1947-08-28T00:00:00.000,1947-10-24T00:00:00.000,1949-03-31T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00050,LATIN AMERICA AND CARIBBEAN,CL,Chile,Ministry of Finance,CL,Chile,NPL,Fully Repaid,4.50,,P006578,POWER,13500000.00,0.00,0.00,13500000.00,12167000.00,0.00,0.00,0.00,1333000.00,1333000.00,0.00,0.00,1953-07-01T00:00:00.000,1968-07-01T00:00:00.000,1948-03-25T00:00:00.000,1948-03-25T00:00:00.000,1949-04-07T00:00:00.000,1954-12-31T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00060,LATIN AMERICA AND CARIBBEAN,CL,Chile,Ministry of Finance,CL,Chile,NPL,Fully Repaid,3.75,,P006577,FOMENTO AGRIC CREDIT,2500000.00,0.00,0.00,2500000.00,755000.00,0.00,0.00,0.00,1745000.00,1745000.00,0.00,0.00,1950-07-01T00:00:00.000,1955-01-01T00:00:00.000,1948-03-25T00:00:00.000,1948-03-25T00:00:00.000,1949-04-07T00:00:00.000,1950-01-01T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00070,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.56,,P037453,SHIPPING I,2000000.00,0.00,0.00,2000000.00,0.00,0.00,0.00,0.00,2000000.00,2000000.00,0.00,0.00,1949-01-15T00:00:00.000,1958-07-15T00:00:00.000,1948-07-15T00:00:00.000,1948-05-21T00:00:00.000,1948-08-03T00:00:00.000,1948-08-03T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00071,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.56,,P037453,SHIPPING I,2000000.00,0.00,0.00,2000000.00,0.00,0.00,0.00,0.00,2000000.00,2000000.00,0.00,0.00,1949-01-15T00:00:00.000,1958-07-15T00:00:00.000,1948-07-15T00:00:00.000,1948-05-21T00:00:00.000,1948-08-03T00:00:00.000,1948-08-03T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00080,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.56,,P037454,SHIPPING II,2000000.00,0.00,0.00,2000000.00,0.00,0.00,0.00,0.00,2000000.00,2000000.00,0.00,0.00,1949-01-15T00:00:00.000,1958-07-15T00:00:00.000,1948-07-15T00:00:00.000,1948-05-21T00:00:00.000,1948-08-03T00:00:00.000,1948-08-03T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00090,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.56,,P037455,SHIPPING III,2000000.00,0.00,0.00,2000000.00,0.00,0.00,0.00,0.00,2000000.00,2000000.00,0.00,0.00,1949-01-15T00:00:00.000,1958-07-15T00:00:00.000,1948-07-15T00:00:00.000,1948-05-21T00:00:00.000,1948-08-03T00:00:00.000,1948-08-03T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00100,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.56,,P037456,SHIPPING IV,2000000.00,0.00,0.00,2000000.00,0.00,0.00,0.00,0.00,2000000.00,2000000.00,0.00,0.00,1949-01-15T00:00:00.000,1958-07-15T00:00:00.000,1948-07-15T00:00:00.000,1948-05-21T00:00:00.000,1948-08-03T00:00:00.000,1948-08-03T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00101,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.56,,P037456,SHIPPING IV,2000000.00,0.00,0.00,2000000.00,0.00,0.00,0.00,0.00,2000000.00,2000000.00,0.00,0.00,1949-01-15T00:00:00.000,1958-07-15T00:00:00.000,1948-07-15T00:00:00.000,1948-05-21T00:00:00.000,1948-08-03T00:00:00.000,1948-08-03T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00111,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,4.50,,P006214,POWER AND TELEPHONE,75000000.00,0.00,0.00,75000000.00,70971588.97,0.00,0.00,0.00,4028411.03,4028411.03,0.00,0.00,1953-07-01T00:00:00.000,1974-01-01T00:00:00.000,1949-01-27T00:00:00.000,1949-01-27T00:00:00.000,1949-05-09T00:00:00.000,1953-12-31T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00112,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,4.25,,P006214,POWER AND TELEPHONE,15000000.00,0.00,0.00,15000000.00,15000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1955-07-01T00:00:00.000,1976-01-01T00:00:00.000,1951-01-18T00:00:00.000,1951-01-16T00:00:00.000,1951-04-10T00:00:00.000,1954-12-31T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00120,LATIN AMERICA AND CARIBBEAN,MX,Mexico,Secretaria de Hacienda Y Credito Publico,MX,Mexico,NPL,Fully Repaid,4.50,,P007497,POWER I,24100000.00,0.00,0.00,24100000.00,20131700.00,0.00,0.00,0.00,3968300.00,3968300.00,0.00,0.00,1953-02-01T00:00:00.000,1973-08-01T00:00:00.000,1949-01-06T00:00:00.000,1949-01-06T00:00:00.000,1949-03-15T00:00:00.000,1956-03-31T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00130,LATIN AMERICA AND CARIBBEAN,MX,Mexico,Secretaria de Hacienda Y Credito Publico,MX,Mexico,NPL,Fully Cancelled,4.50,,P007498,POWER II,10000000.00,10000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1951-01-01T00:00:00.000,1951-01-01T00:00:00.000,1949-01-06T00:00:00.000,1949-01-06T00:00:00.000,1949-03-15T00:00:00.000,1950-07-01T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00140,EUROPE AND CENTRAL ASIA,BE,Belgium,MINISTERE DES FINANCES,BE,Belgium,NPL,Fully Repaid,4.25,,P037358,INDUSTRY,16000000.00,0.00,0.00,16000000.00,0.00,0.00,0.00,0.00,16000000.00,16000000.00,0.00,0.00,1953-09-01T00:00:00.000,1969-03-01T00:00:00.000,1949-03-01T00:00:00.000,1949-02-08T00:00:00.000,1949-03-01T00:00:00.000,1952-06-01T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00150,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,4.00,,P037457,INDUSTRIAL PROJECTS,15000000.00,7548015.28,0.00,7451984.72,1025088.71,0.00,0.00,0.00,6426896.01,6426896.01,0.00,0.00,1952-12-01T00:00:00.000,1964-06-01T00:00:00.000,1949-07-26T00:00:00.000,1949-07-26T00:00:00.000,1949-09-15T00:00:00.000,1953-12-01T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00160,EUROPE AND CENTRAL ASIA,FI,Finland,,,,NPL,Fully Repaid,4.00,,P037366,INDUSTRY I,12500000.00,0.00,0.00,12500000.00,6747990.11,0.00,0.00,0.00,5752009.89,5752009.89,0.00,0.00,1953-02-01T00:00:00.000,1964-08-01T00:00:00.000,1949-08-01T00:00:00.000,1949-07-26T00:00:00.000,1949-09-12T00:00:00.000,1953-12-31T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00170,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,4.00,,P009588,RAILWAY,34000000.00,1200000.00,0.00,32800000.00,15056370.48,0.00,0.00,0.00,17743629.52,17743629.52,0.00,0.00,1950-08-15T00:00:00.000,1964-08-15T00:00:00.000,1949-08-18T00:00:00.000,1949-08-18T00:00:00.000,1949-11-02T00:00:00.000,1951-03-31T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00180,LATIN AMERICA AND CARIBBEAN,CO,Colombia,MINISTERIO DE HACIENDA Y CREDITO PUBLICO,CO,Colombia,NPL,Fully Repaid,3.50,,P006682,AGRICULTRE MACHINERY,5000000.00,74559.16,0.00,4925440.84,2925440.84,0.00,0.00,0.00,2000000.00,2000000.00,0.00,0.00,1952-05-15T00:00:00.000,1956-11-15T00:00:00.000,1949-08-19T00:00:00.000,1949-08-18T00:00:00.000,1949-10-22T00:00:00.000,1951-04-01T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00190,SOUTH ASIA,IN,India,CONTROLLER OF AID ACCOUNTS & AUDIT,IN,India,NPL,Fully Repaid,3.50,,P009586,FARM IMPROVEMENT,10000000.00,2796186.73,0.00,7203813.27,2263000.00,0.00,0.00,0.00,4940813.27,4940813.27,0.00,0.00,1952-06-01T00:00:00.000,1956-12-01T00:00:00.000,1949-09-29T00:00:00.000,1949-09-27T00:00:00.000,1949-12-01T00:00:00.000,1953-12-31T00:00:00.000,
2019-10-31T00:00:00.000,IBRD00200,EUROPE AND CENTRAL ASIA,YU,"Yugoslavia, former",,,,NPL,Fully Repaid,3.00,,P009133,FORESTRY,2700000.00,0.00,0.00,2700000.00,2700000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1950-06-15T00:00:00.000,1951-09-15T00:00:00.000,1949-10-17T00:00:00.000,1949-10-13T00:00:00.000,1950-01-24T00:00:00.000,1950-12-31T00:00:00.000,
